pickup,dropoff,passengers,distance,fare,tip,tolls,total,color,payment,pickup_zone,dropoff_zone,pickup_borough,dropoff_borough
3/7/2019 18:13,3/7/2019 18:25,1,1.01,9,1.5,0,14.8,yellow,credit card,Hudson Sq,Chinatown,Manhattan,Manhattan
3/17/2019 17:23,3/17/2019 17:26,2,0.98,5,1.66,0,9.96,yellow,credit card,Penn Station/Madison Sq West,Times Sq/Theatre District,Manhattan,Manhattan
3/14/2019 10:45,3/14/2019 10:59,1,0.84,9.5,2.56,0,15.36,yellow,credit card,Midtown North,Midtown East,Manhattan,Manhattan
3/9/2019 11:10,3/9/2019 11:17,2,0.87,6.5,1.46,0,8.76,yellow,credit card,Cobble Hill,Brooklyn Heights,Brooklyn,Brooklyn
3/23/2019 9:17,3/23/2019 9:19,3,0.48,3.5,1.36,0,8.16,yellow,credit card,Union Sq,Penn Station/Madison Sq West,Manhattan,Manhattan
3/6/2019 22:50,3/6/2019 22:52,1,0.56,4,1.56,0,9.36,yellow,credit card,Kips Bay,Midtown East,Manhattan,Manhattan
3/26/2019 21:15,3/26/2019 21:20,1,1.6,7,0,0,10.8,yellow,cash,Murray Hill,Upper East Side South,Manhattan,Manhattan
3/7/2019 22:40,3/7/2019 22:43,1,0.54,4,2.34,0,10.14,yellow,credit card,Flatiron,East Chelsea,Manhattan,Manhattan
3/7/2019 19:32,3/7/2019 19:40,1,1.1,7,0,0,11.3,yellow,cash,Gramercy,Murray Hill,Manhattan,Manhattan
3/15/2019 17:57,3/15/2019 18:02,1,0.8,5.5,1.95,0,11.75,yellow,credit card,Clinton West,Clinton West,Manhattan,Manhattan
3/18/2019 6:53,3/18/2019 7:04,1,1.9,9,0.7,0,13,yellow,credit card,Long Island City/Queens Plaza,Lenox Hill East,Queens,Manhattan
3/6/2019 19:55,3/6/2019 19:59,3,0.6,4.5,1.75,0,10.55,yellow,credit card,Yorkville West,Yorkville East,Manhattan,Manhattan
3/29/2019 20:39,3/29/2019 20:50,5,1.44,8.5,2.46,0,14.76,yellow,credit card,East Chelsea,West Village,Manhattan,Manhattan
3/6/2019 10:05,3/6/2019 10:22,1,1.52,11.5,2.96,0,17.76,yellow,credit card,Penn Station/Madison Sq West,Union Sq,Manhattan,Manhattan
3/2/2019 23:52,3/3/2019 0:06,1,3.53,13,0,0,16.8,yellow,cash,Manhattan Valley,Garment District,Manhattan,Manhattan
3/11/2019 23:56,3/12/2019 0:14,1,3.85,15.5,5.79,0,25.09,yellow,credit card,Lincoln Square East,Long Island City/Hunters Point,Manhattan,Queens
3/8/2019 16:29,3/8/2019 16:53,0,2.3,16,2,0,22.3,yellow,credit card,Union Sq,TriBeCa/Civic Center,Manhattan,Manhattan
3/4/2019 21:32,3/4/2019 21:59,3,9.29,29.5,5,5.76,44.06,yellow,credit card,LaGuardia Airport,Upper West Side South,Queens,Manhattan
3/20/2019 11:38,3/20/2019 11:48,1,0.7,7.5,2.15,0,12.95,yellow,credit card,Midtown Center,Midtown North,Manhattan,Manhattan
3/19/2019 16:14,3/19/2019 16:20,2,0.58,5.5,2.45,0,12.25,yellow,credit card,East Chelsea,Flatiron,Manhattan,Manhattan
3/26/2019 17:38,3/26/2019 17:44,1,1.3,7,0,0,11.3,yellow,cash,Morningside Heights,Upper West Side North,Manhattan,Manhattan
3/22/2019 13:34,3/22/2019 13:40,1,0.9,6.5,1.95,0,11.75,yellow,credit card,Gramercy,Murray Hill,Manhattan,Manhattan
3/9/2019 18:57,3/9/2019 19:49,1,28.3,52,2,5.76,63.06,yellow,credit card,World Trade Center,JFK Airport,Manhattan,Queens
3/4/2019 18:43,3/4/2019 19:00,5,3.44,14,2.5,0,20.8,yellow,credit card,Lincoln Square East,Lincoln Square East,Manhattan,Manhattan
3/21/2019 9:22,3/21/2019 9:37,2,1.19,10.5,5,0,18.8,yellow,credit card,UN/Turtle Bay South,Times Sq/Theatre District,Manhattan,Manhattan
3/21/2019 20:35,3/21/2019 20:39,1,0.45,4.5,1,0,9.3,yellow,credit card,Lenox Hill West,Lenox Hill East,Manhattan,Manhattan
3/27/2019 21:37,3/27/2019 21:54,2,2.8,13,3,0,19.8,yellow,credit card,Little Italy/NoLiTa,Fort Greene,Manhattan,Brooklyn
3/19/2019 13:25,3/19/2019 13:40,1,2.21,11.5,2.96,0,19.71,yellow,credit card,Upper West Side South,Midtown Center,Manhattan,Manhattan
3/14/2019 21:17,3/14/2019 21:31,2,2.9,12.5,3.25,0,19.55,yellow,credit card,Midtown Center,Long Island City/Hunters Point,Manhattan,Queens
3/21/2019 1:30,3/21/2019 1:50,1,8.53,26,5.96,0,35.76,yellow,credit card,Sutton Place/Turtle Bay North,Clinton Hill,Manhattan,Brooklyn
3/21/2019 16:17,3/21/2019 16:28,2,1.33,8.5,0,0,12.8,yellow,cash,Central Park,Midtown North,Manhattan,Manhattan
3/15/2019 8:18,3/15/2019 8:24,1,0.84,5.5,2.2,0,11,yellow,credit card,Lenox Hill West,Upper East Side South,Manhattan,Manhattan
3/13/2019 20:17,3/13/2019 20:21,1,0.9,5.5,1.85,0,11.15,yellow,credit card,Midtown East,Sutton Place/Turtle Bay North,Manhattan,Manhattan
3/12/2019 9:19,3/12/2019 9:42,1,2.03,15,0,0,18.3,yellow,cash,Kips Bay,East Chelsea,Manhattan,Manhattan
3/7/2019 19:54,3/7/2019 19:57,1,1,5,0,0,9.3,yellow,cash,UN/Turtle Bay South,Lenox Hill West,Manhattan,Manhattan
3/18/2019 12:23,3/18/2019 12:42,1,1.3,12.5,4,0,19.8,yellow,credit card,Midtown East,Penn Station/Madison Sq West,Manhattan,Manhattan
3/7/2019 12:49,3/7/2019 13:09,2,1.1,12.5,3.15,0,18.95,yellow,credit card,Penn Station/Madison Sq West,Murray Hill,Manhattan,Manhattan
3/5/2019 8:26,3/5/2019 8:34,1,0.9,6.5,0.5,0,7.8,yellow,credit card,Astoria,Queensbridge/Ravenswood,Queens,Queens
3/20/2019 9:58,3/20/2019 10:38,2,11.3,40,9.8,5.76,58.86,yellow,credit card,Times Sq/Theatre District,LaGuardia Airport,Manhattan,Queens
3/8/2019 13:57,3/8/2019 14:04,1,1.38,7,2.06,0,12.36,yellow,credit card,Midtown East,Upper East Side South,Manhattan,Manhattan
3/8/2019 12:06,3/8/2019 12:09,1,0.49,4,1,0,8.3,yellow,credit card,Yorkville East,Lenox Hill West,Manhattan,Manhattan
3/11/2019 21:41,3/11/2019 21:48,2,1.37,7,1.62,0,12.42,yellow,credit card,Upper West Side South,Lincoln Square West,Manhattan,Manhattan
3/20/2019 12:55,3/20/2019 13:07,1,2.74,10.5,1.2,0,15,yellow,credit card,Lincoln Square West,Morningside Heights,Manhattan,Manhattan
3/12/2019 19:53,3/12/2019 20:02,1,1.9,8.5,2.55,0,15.35,yellow,credit card,Upper East Side North,East Harlem North,Manhattan,Manhattan
3/1/2019 11:37,3/1/2019 11:54,1,1.7,11.5,3.7,0,18.5,yellow,credit card,Midtown North,Garment District,Manhattan,Manhattan
3/19/2019 17:25,3/19/2019 17:50,5,3.26,17.5,2.18,0,23.98,yellow,credit card,Upper East Side South,Upper East Side North,Manhattan,Manhattan
3/2/2019 12:57,3/2/2019 13:08,6,2.1,9.5,1,0,13.8,yellow,credit card,Lincoln Square East,Flatiron,Manhattan,Manhattan
3/28/2019 8:26,3/28/2019 8:33,1,0.8,6,1.85,0,11.15,yellow,credit card,TriBeCa/Civic Center,SoHo,Manhattan,Manhattan
3/9/2019 13:07,3/9/2019 14:12,1,18.29,59.5,0,0,60.3,yellow,cash,JFK Airport,Downtown Brooklyn/MetroTech,Queens,Brooklyn
3/16/2019 0:35,3/16/2019 1:13,1,3.73,24,0,0,27.8,yellow,cash,Clinton East,Lower East Side,Manhattan,Manhattan
3/21/2019 9:51,3/21/2019 9:56,1,0.3,5,0,0,8.3,yellow,cash,Sutton Place/Turtle Bay North,Midtown Center,Manhattan,Manhattan
3/10/2019 8:40,3/10/2019 8:47,6,1.38,7,2.06,0,12.36,yellow,credit card,Lenox Hill East,Upper East Side North,Manhattan,Manhattan
3/25/2019 12:56,3/25/2019 13:17,1,5.3,19.5,4.55,0,27.35,yellow,credit card,Financial District North,East Chelsea,Manhattan,Manhattan
3/18/2019 2:20,3/18/2019 2:49,1,6,23,0,0,26.8,yellow,credit card,TriBeCa/Civic Center,Bushwick South,Manhattan,Brooklyn
3/25/2019 9:48,3/25/2019 9:58,1,0.35,7,2.58,0,12.88,yellow,credit card,Midtown North,Central Park,Manhattan,Manhattan
3/22/2019 22:23,3/22/2019 22:35,1,1.96,10,0,0,13.8,yellow,cash,East Village,Midtown East,Manhattan,Manhattan
3/11/2019 10:21,3/11/2019 10:34,1,1.1,9.5,3.8,0,16.6,yellow,credit card,Midtown North,Penn Station/Madison Sq West,Manhattan,Manhattan
3/7/2019 9:24,3/7/2019 9:33,1,1.2,8,2.25,0,13.55,yellow,credit card,West Village,West Chelsea/Hudson Yards,Manhattan,Manhattan
3/5/2019 16:31,3/5/2019 16:35,5,0.64,5,0,0,9.3,yellow,cash,Greenwich Village North,Hudson Sq,Manhattan,Manhattan
3/20/2019 0:05,3/20/2019 0:17,1,2.85,12,3.16,0,18.96,yellow,credit card,Lower East Side,Williamsburg (North Side),Manhattan,Brooklyn
3/12/2019 21:44,3/12/2019 21:53,1,1.2,7.5,0,0,11.3,yellow,cash,East Chelsea,Murray Hill,Manhattan,Manhattan
3/31/2019 12:10,3/31/2019 12:19,1,1.25,8,0,0,11.3,yellow,cash,Midtown Center,Clinton East,Manhattan,Manhattan
3/24/2019 20:48,3/24/2019 21:02,1,2.92,12,3.16,0,18.96,yellow,credit card,Greenwich Village North,Clinton West,Manhattan,Manhattan
3/12/2019 16:41,3/12/2019 16:44,1,0.6,4.5,1.76,0,10.56,yellow,credit card,Lincoln Square East,Lincoln Square East,Manhattan,Manhattan
3/8/2019 22:44,3/8/2019 23:04,4,5.7,19.5,4.66,0,27.96,yellow,credit card,Times Sq/Theatre District,Hamilton Heights,Manhattan,Manhattan
3/11/2019 9:36,3/11/2019 9:46,1,0.53,7.5,0,0,10.8,yellow,cash,East Chelsea,West Chelsea/Hudson Yards,Manhattan,Manhattan
3/7/2019 18:06,3/7/2019 18:22,1,2.01,12,4.08,0,20.38,yellow,credit card,Upper West Side South,Times Sq/Theatre District,Manhattan,Manhattan
3/21/2019 23:31,3/21/2019 23:42,1,3.35,12,3.16,0,18.96,yellow,credit card,Kips Bay,Lincoln Square East,Manhattan,Manhattan
3/28/2019 20:06,3/28/2019 20:21,1,2.11,11,2.96,0,17.76,yellow,credit card,West Chelsea/Hudson Yards,Meatpacking/West Village West,Manhattan,Manhattan
3/14/2019 9:50,3/14/2019 10:00,1,0.64,7.5,0,0,10.8,yellow,cash,Midtown East,Sutton Place/Turtle Bay North,Manhattan,Manhattan
3/22/2019 23:43,3/22/2019 23:57,5,2.28,10,3.45,0,17.25,yellow,credit card,Clinton East,Union Sq,Manhattan,Manhattan
3/16/2019 22:33,3/16/2019 22:44,1,2.18,9.5,2.66,0,15.96,yellow,credit card,East Chelsea,Clinton West,Manhattan,Manhattan
3/17/2019 11:21,3/17/2019 11:29,2,1.72,8,2.82,0,14.12,yellow,credit card,Yorkville West,Midtown East,Manhattan,Manhattan
3/22/2019 0:14,3/22/2019 0:27,1,3.1,12,0,0,15.8,yellow,cash,Upper West Side North,Penn Station/Madison Sq West,Manhattan,Manhattan
3/18/2019 17:24,3/18/2019 17:27,1,0.45,4,0,0,8.3,yellow,cash,Clinton East,East Chelsea,Manhattan,Manhattan
3/22/2019 23:38,3/22/2019 23:47,2,0.86,7.5,1,0,12.3,yellow,credit card,East Village,Two Bridges/Seward Park,Manhattan,Manhattan
3/16/2019 19:58,3/16/2019 20:15,1,2.89,13,3.26,0,19.56,yellow,credit card,Penn Station/Madison Sq West,Lincoln Square West,Manhattan,Manhattan
3/13/2019 17:37,3/13/2019 18:04,1,4.9,20,4.85,0,29.15,yellow,credit card,Battery Park City,Lincoln Square West,Manhattan,Manhattan
3/9/2019 10:23,3/9/2019 10:36,1,2.76,12,3.06,0,18.36,yellow,credit card,Greenwich Village North,Midtown Center,Manhattan,Manhattan
3/2/2019 17:43,3/2/2019 17:57,1,1.88,10.5,2.76,0,16.56,yellow,credit card,Garment District,Lincoln Square East,Manhattan,Manhattan
3/18/2019 18:16,3/18/2019 18:25,1,1.6,8,2.45,0,14.75,yellow,credit card,Union Sq,West Chelsea/Hudson Yards,Manhattan,Manhattan
3/23/2019 7:11,3/23/2019 7:15,1,0.8,5,1.65,0,9.95,yellow,credit card,Penn Station/Madison Sq West,Midtown Center,Manhattan,Manhattan
3/21/2019 7:46,3/21/2019 9:04,1,12.78,52,11.06,0,66.36,yellow,credit card,South Ozone Park,Little Italy/NoLiTa,Queens,Manhattan
3/14/2019 8:34,3/14/2019 8:36,1,0.3,3.5,0,0,6.8,yellow,cash,Yorkville East,Yorkville West,Manhattan,Manhattan
3/10/2019 17:46,3/10/2019 18:03,1,3.56,14,1.5,0,18.8,yellow,credit card,Union Sq,DUMBO/Vinegar Hill,Manhattan,Brooklyn
3/24/2019 23:38,3/24/2019 23:50,1,3.38,12.5,2.44,0,18.74,yellow,credit card,Murray Hill,Little Italy/NoLiTa,Manhattan,Manhattan
3/10/2019 3:17,3/10/2019 3:37,1,3.62,16,3.96,0,23.76,yellow,credit card,Alphabet City,Williamsburg (North Side),Manhattan,Brooklyn
3/2/2019 13:34,3/2/2019 13:43,1,1.6,8.5,2.35,0,14.15,yellow,credit card,Upper West Side South,Manhattan Valley,Manhattan,Manhattan
3/23/2019 12:06,3/23/2019 12:17,2,1.3,8.5,0,0,11.8,yellow,cash,Penn Station/Madison Sq West,Clinton East,Manhattan,Manhattan
3/14/2019 22:01,3/14/2019 22:10,1,1.28,7.5,2.26,0,13.56,yellow,credit card,Central Park,Central Park,Manhattan,Manhattan
3/29/2019 15:23,3/29/2019 15:39,1,1.88,11.5,4.44,0,19.24,yellow,credit card,Greenwich Village South,Penn Station/Madison Sq West,Manhattan,Manhattan
3/28/2019 18:18,3/28/2019 18:41,2,3.1,16.5,4.16,0,24.96,yellow,credit card,Union Sq,Battery Park City,Manhattan,Manhattan
3/31/2019 5:00,3/31/2019 5:13,1,2.62,11,2,0,16.8,yellow,credit card,East Chelsea,East Village,Manhattan,Manhattan
3/9/2019 12:14,3/9/2019 12:19,1,0.91,6,1.86,0,11.16,yellow,credit card,Lincoln Square East,Upper West Side South,Manhattan,Manhattan
3/11/2019 8:53,3/11/2019 9:13,1,1.2,13,4.05,0,20.35,yellow,credit card,West Chelsea/Hudson Yards,Union Sq,Manhattan,Manhattan
3/19/2019 15:23,3/19/2019 16:01,2,11.8,38.5,0,0,39.3,yellow,cash,JFK Airport,East New York,Queens,Brooklyn
3/16/2019 18:34,3/16/2019 19:10,1,17.17,52,11.06,0,66.36,yellow,credit card,Sutton Place/Turtle Bay North,JFK Airport,Manhattan,Queens
3/23/2019 22:18,3/23/2019 22:23,2,1.19,6,1.96,0,11.76,yellow,credit card,Upper East Side South,Upper East Side North,Manhattan,Manhattan
3/24/2019 3:26,3/24/2019 3:35,1,1.12,7.5,2.26,0,13.56,yellow,credit card,East Chelsea,Greenwich Village South,Manhattan,Manhattan
3/22/2019 19:09,3/22/2019 19:22,1,3.34,13,0,0,17.3,yellow,cash,Midtown East,Sunnyside,Manhattan,Queens
3/5/2019 8:50,3/5/2019 9:15,1,3.1,17.5,3.12,0,23.92,yellow,credit card,Upper West Side North,Sutton Place/Turtle Bay North,Manhattan,Manhattan
3/24/2019 12:12,3/24/2019 12:27,1,1.55,10.5,0,0,13.8,yellow,cash,UN/Turtle Bay South,Central Park,Manhattan,Manhattan
3/21/2019 23:03,3/21/2019 23:11,1,2.08,9,2.56,0,15.36,yellow,credit card,Battery Park City,West Village,Manhattan,Manhattan
3/23/2019 16:34,3/23/2019 17:07,3,3.45,20.5,0,0,23.8,yellow,cash,Little Italy/NoLiTa,Times Sq/Theatre District,Manhattan,Manhattan
3/16/2019 9:12,3/16/2019 9:31,1,8.83,26.5,7.11,5.76,42.67,yellow,credit card,LaGuardia Airport,Midtown South,Queens,Manhattan
3/11/2019 7:47,3/11/2019 7:54,1,1,6.5,1.96,0,11.76,yellow,credit card,Lenox Hill West,Midtown East,Manhattan,Manhattan
3/21/2019 20:07,3/21/2019 20:13,1,0.8,5.5,2.79,0,12.09,yellow,credit card,Central Park,Lincoln Square West,Manhattan,Manhattan
3/18/2019 16:36,3/18/2019 16:40,1,0.98,5,0,0,9.3,yellow,cash,Lincoln Square West,Upper West Side South,Manhattan,Manhattan
3/27/2019 12:21,3/27/2019 12:41,5,5.73,20,5.82,0,29.12,yellow,credit card,Financial District South,Midtown South,Manhattan,Manhattan
3/12/2019 14:40,3/12/2019 14:51,1,2.4,11,3.55,0,17.85,yellow,credit card,Lincoln Square West,Morningside Heights,Manhattan,Manhattan
3/29/2019 10:08,3/29/2019 10:19,1,1.45,9,0,0,12.3,yellow,credit card,Stuy Town/Peter Cooper Village,Greenwich Village South,Manhattan,Manhattan
3/27/2019 22:36,3/27/2019 22:41,1,0.68,5,1.76,0,10.56,yellow,credit card,Midtown East,Midtown East,Manhattan,Manhattan
3/26/2019 9:37,3/26/2019 9:59,5,3.44,15.5,1,0,19.8,yellow,credit card,Yorkville West,Midtown Center,Manhattan,Manhattan
3/18/2019 21:02,3/18/2019 21:15,5,2.94,12,3.16,0,18.96,yellow,credit card,Lower East Side,Williamsburg (North Side),Manhattan,Brooklyn
3/22/2019 21:43,3/22/2019 21:57,2,3.24,13,2,0,18.8,yellow,credit card,Midtown South,Yorkville West,Manhattan,Manhattan
3/28/2019 1:17,3/28/2019 1:27,1,4.29,14,0,0,17.8,yellow,cash,Upper East Side South,Mott Haven/Port Morris,Manhattan,Bronx
3/10/2019 14:05,3/10/2019 14:20,1,2.2,11.5,2.96,0,17.76,yellow,credit card,Chinatown,West Village,Manhattan,Manhattan
3/12/2019 23:24,3/12/2019 23:27,1,0.54,4,0,0,7.8,yellow,cash,East Chelsea,Penn Station/Madison Sq West,Manhattan,Manhattan
3/20/2019 18:07,3/20/2019 18:18,3,0.8,8,0,0,12.3,yellow,cash,Garment District,East Chelsea,Manhattan,Manhattan
3/4/2019 18:55,3/4/2019 19:08,3,2.13,10.5,0,0,14.25,yellow,credit card,Sunnyside,Astoria,Queens,Queens
3/12/2019 8:05,3/12/2019 8:12,6,1.07,6.5,1.46,0,8.76,yellow,credit card,Bloomingdale,Upper West Side North,Manhattan,Manhattan
3/30/2019 11:30,3/30/2019 11:58,1,9.38,28.5,7.51,5.76,45.07,yellow,credit card,LaGuardia Airport,Midtown Center,Queens,Manhattan
3/23/2019 9:40,3/23/2019 9:47,1,1,6.5,0,0,7.3,yellow,cash,Sunnyside,Sunnyside,Queens,Queens
3/16/2019 12:45,3/16/2019 12:55,1,1.2,8.5,2.36,0,14.16,yellow,credit card,Upper East Side North,Upper East Side South,Manhattan,Manhattan
3/6/2019 9:23,3/6/2019 9:38,1,2.15,12,3.06,0,18.36,yellow,credit card,Midtown East,Clinton West,Manhattan,Manhattan
3/13/2019 19:47,3/13/2019 20:06,2,3.9,16.5,4.16,0,24.96,yellow,credit card,Morningside Heights,Midtown Center,Manhattan,Manhattan
3/10/2019 21:04,3/10/2019 21:11,0,1.2,7,2.15,0,12.95,yellow,credit card,Clinton East,Lincoln Square West,Manhattan,Manhattan
3/26/2019 18:09,3/26/2019 18:26,1,3.8,15,5.01,5.76,30.07,yellow,credit card,TriBeCa/Civic Center,Carroll Gardens,Manhattan,Brooklyn
3/14/2019 11:37,3/14/2019 11:51,1,2.11,11,3.58,0,17.88,yellow,credit card,Manhattan Valley,Lincoln Square West,Manhattan,Manhattan
3/11/2019 14:51,3/11/2019 15:08,6,1.74,11.5,2.96,0,17.76,yellow,credit card,Central Park,Clinton East,Manhattan,Manhattan
3/24/2019 20:23,3/24/2019 20:46,1,8.8,27,4,5.76,40.56,yellow,credit card,LaGuardia Airport,Upper East Side South,Queens,Manhattan
3/22/2019 19:57,3/22/2019 20:04,1,1.31,7,0,0,11.3,yellow,cash,Upper East Side South,Lenox Hill East,Manhattan,Manhattan
3/7/2019 17:43,3/7/2019 18:16,2,4.8,21.5,5.16,0,30.96,yellow,credit card,Midtown Center,Astoria,Manhattan,Queens
3/2/2019 15:08,3/2/2019 15:16,1,1.2,7,0,0,10.3,yellow,cash,Upper East Side South,Lenox Hill East,Manhattan,Manhattan
3/21/2019 8:22,3/21/2019 9:01,1,3.93,24.5,5.56,0,33.36,yellow,credit card,Upper West Side South,Gramercy,Manhattan,Manhattan
3/20/2019 20:12,3/20/2019 20:22,1,1.82,8.5,0,0,12.3,yellow,cash,Midtown South,West Village,Manhattan,Manhattan
3/23/2019 19:18,3/23/2019 19:30,1,1.7,9.5,2.55,0,15.35,yellow,credit card,Times Sq/Theatre District,Midtown South,Manhattan,Manhattan
3/9/2019 14:20,3/9/2019 14:49,1,4.33,20.5,4.76,0,28.56,yellow,credit card,Lincoln Square East,Little Italy/NoLiTa,Manhattan,Manhattan
3/6/2019 9:16,3/6/2019 9:39,1,1.9,14.5,3.55,0,21.35,yellow,credit card,Times Sq/Theatre District,Union Sq,Manhattan,Manhattan
3/10/2019 10:01,3/10/2019 10:09,1,1.32,8,2.26,0,13.56,yellow,credit card,Times Sq/Theatre District,Lincoln Square East,Manhattan,Manhattan
3/31/2019 15:22,3/31/2019 15:27,1,0.42,5,1.66,0,9.96,yellow,credit card,Lincoln Square East,Lincoln Square East,Manhattan,Manhattan
3/26/2019 13:49,3/26/2019 13:56,1,1.03,6.5,1.96,0,11.76,yellow,credit card,Manhattan Valley,Upper West Side South,Manhattan,Manhattan
3/6/2019 8:00,3/6/2019 8:21,2,1.92,13.5,2.86,0,17.16,yellow,credit card,Central Harlem,East Harlem South,Manhattan,Manhattan
3/8/2019 11:45,3/8/2019 12:06,5,2.51,14.5,0,0,17.8,yellow,cash,Midtown East,East Chelsea,Manhattan,Manhattan
3/13/2019 9:56,3/13/2019 10:49,1,17.1,52,0,0,55.3,yellow,cash,Midtown Center,JFK Airport,Manhattan,Queens
3/16/2019 19:42,3/16/2019 19:57,1,1.71,11,0,0,14.3,yellow,credit card,Midtown South,Clinton East,Manhattan,Manhattan
3/23/2019 19:18,3/23/2019 19:24,1,1.02,6.5,3,0,12.8,yellow,credit card,Upper West Side North,Upper West Side South,Manhattan,Manhattan
3/14/2019 12:35,3/14/2019 12:41,0,0.8,6,1.85,0,11.15,yellow,credit card,Little Italy/NoLiTa,West Village,Manhattan,Manhattan
3/16/2019 10:06,3/16/2019 10:23,2,2.3,12.5,3.16,0,18.96,yellow,credit card,UN/Turtle Bay South,Flatiron,Manhattan,Manhattan
3/25/2019 12:25,3/25/2019 12:40,1,2.86,12.5,3.16,0,18.96,yellow,credit card,Upper West Side South,West Chelsea/Hudson Yards,Manhattan,Manhattan
3/2/2019 14:46,3/2/2019 14:58,1,1.3,9,2.45,0,14.75,yellow,credit card,Central Park,Upper West Side South,Manhattan,Manhattan
3/6/2019 17:22,3/6/2019 17:47,1,3,17,2.5,0,23.8,yellow,credit card,Lincoln Square West,Union Sq,Manhattan,Manhattan
3/11/2019 17:37,3/11/2019 17:51,1,2.83,12,0,0,16.3,yellow,cash,Times Sq/Theatre District,Upper East Side North,Manhattan,Manhattan
3/27/2019 20:15,3/27/2019 20:25,2,1.4,8,0,0,9.3,yellow,cash,Fort Greene,Prospect Heights,Brooklyn,Brooklyn
3/2/2019 9:51,3/2/2019 9:52,1,0.51,3.5,1.36,0,8.16,yellow,credit card,Lenox Hill East,Lenox Hill West,Manhattan,Manhattan
3/9/2019 19:11,3/9/2019 19:23,1,1.25,8.5,1,0,12.8,yellow,credit card,Greenwich Village North,Kips Bay,Manhattan,Manhattan
3/8/2019 23:31,3/8/2019 23:54,1,2.34,15.5,0,0,19.3,yellow,credit card,Flatiron,Lower East Side,Manhattan,Manhattan
3/20/2019 0:47,3/20/2019 0:57,1,2.18,10,2.82,0,14.12,yellow,credit card,Hamilton Heights,Bloomingdale,Manhattan,Manhattan
3/22/2019 14:58,3/22/2019 15:32,1,7.31,27,0,5.76,36.06,yellow,cash,Penn Station/Madison Sq West,Boerum Hill,Manhattan,Brooklyn
3/29/2019 7:13,3/29/2019 7:20,5,0.95,6.5,1.96,0,11.76,yellow,credit card,Midtown Center,Lenox Hill West,Manhattan,Manhattan
3/15/2019 7:09,3/15/2019 7:19,1,1.57,8.5,2.36,0,14.16,yellow,credit card,Penn Station/Madison Sq West,Kips Bay,Manhattan,Manhattan
3/26/2019 20:41,3/26/2019 20:47,5,1.28,6.5,2.06,0,12.36,yellow,credit card,Flatiron,Garment District,Manhattan,Manhattan
3/20/2019 9:38,3/20/2019 9:53,2,2,11,2.85,0,17.15,yellow,credit card,Little Italy/NoLiTa,Midtown South,Manhattan,Manhattan
3/17/2019 9:35,3/17/2019 9:38,1,0.65,4.5,1.56,0,9.36,yellow,credit card,Lincoln Square West,Lincoln Square East,Manhattan,Manhattan
3/10/2019 0:18,3/10/2019 0:26,1,1.4,7,0,0,8.3,yellow,cash,Ridgewood,Bushwick North,Queens,Brooklyn
3/24/2019 19:53,3/24/2019 20:00,1,1.74,7.5,2.16,0,12.96,yellow,credit card,Upper East Side North,Upper West Side North,Manhattan,Manhattan
3/22/2019 13:26,3/22/2019 13:41,1,1.6,10,2.65,0,15.95,yellow,credit card,Times Sq/Theatre District,Kips Bay,Manhattan,Manhattan
3/11/2019 9:44,3/11/2019 10:19,0,9.1,31.5,8.1,5.76,48.66,yellow,credit card,LaGuardia Airport,Midtown Center,Queens,Manhattan
3/16/2019 11:01,3/16/2019 11:07,1,1.11,6.5,2.94,0,12.74,yellow,credit card,Upper West Side South,Clinton East,Manhattan,Manhattan
3/28/2019 22:46,3/28/2019 23:36,1,10,38,0,0,41.8,yellow,cash,TriBeCa/Civic Center,Crown Heights South,Manhattan,Brooklyn
3/19/2019 20:01,3/19/2019 20:08,1,1.47,7.5,0,0,11.3,yellow,credit card,Lincoln Square West,Upper West Side North,Manhattan,Manhattan
3/28/2019 19:53,3/28/2019 20:04,6,2.39,10.5,2.96,0,17.76,yellow,credit card,Midtown Center,Long Island City/Hunters Point,Manhattan,Queens
3/11/2019 8:29,3/11/2019 8:46,1,1.7,11.5,0,0,14.8,yellow,cash,Upper West Side South,Upper East Side North,Manhattan,Manhattan
3/28/2019 16:03,3/28/2019 16:31,1,2.11,17.5,2,0,23.8,yellow,credit card,Union Sq,Upper East Side South,Manhattan,Manhattan
3/10/2019 16:24,3/10/2019 16:27,3,0.8,5,1.65,0,9.95,yellow,credit card,Hudson Sq,Flatiron,Manhattan,Manhattan
3/22/2019 20:04,3/22/2019 20:08,1,0.33,4,0.8,0,8.6,yellow,credit card,Times Sq/Theatre District,Times Sq/Theatre District,Manhattan,Manhattan
3/11/2019 11:42,3/11/2019 11:57,1,1.6,10.5,0,0,13.8,yellow,cash,Midtown Center,Lenox Hill West,Manhattan,Manhattan
3/13/2019 17:22,3/13/2019 17:34,1,3.1,12,0,0,16.3,yellow,cash,Upper West Side South,East Harlem North,Manhattan,Manhattan
3/29/2019 10:27,3/29/2019 10:51,1,2.1,16,3.85,0,23.15,yellow,credit card,Midtown East,Upper East Side North,Manhattan,Manhattan
3/14/2019 15:11,3/14/2019 15:33,1,2,14.5,3.55,0,21.35,yellow,credit card,Midtown North,Kips Bay,Manhattan,Manhattan
3/20/2019 23:35,3/20/2019 23:53,1,2.87,13.5,3.46,0,20.76,yellow,credit card,West Village,Flatiron,Manhattan,Manhattan
